label	status	color	section	sectionColor	workflow	modules	declarations
lem:disintegration-lemma	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses;Foundations.Stochastic.TupleMeasures	module-comment;finiteAtomicMeasure_toMeasure_apply;atomicDecomposition_toMeasure_singleton;nearbyAtomIndices;atomicDecomposition_toMeasure_thickening_singleton_eq_sum_nearbyAtomIndices;edist_atom_lt_of_mem_nearbyAtomIndices;atomicDecomposition_toMeasure_double_thickening_singleton_eq;atomicDecomposition_multiplicity_eq_sum_nearbyAtomIndices_of_isolated;nearbyAtomIndices_disjoint_of_disjoint_thickenings;disjoint_thickenings_of_add_lt_edist;atom_notMem_double_thickening_of_add_lt_edist;distinctAtomPairs;mem_distinctAtomPairs_iff;atomicDecompositionSeparationGamma;atomicDecompositionSeparationGamma_le_one;atomicDecompositionSeparationGamma_pos;add_self_lt_edist_of_lt_atomicDecompositionSeparationGamma;atomicDecomposition_disintegration_of_isolated_radius;atomicDecomposition_disintegration_of_pairwise_add_lt_edist;atomicDecomposition_disintegration_of_lt_separationGamma;tupleMeasures_disintegrationLemma;tupleInducedIntegerMeasure_disintegrationNearbyTuple_of_unique_cover;inversePermutedTupleMeasure_edist_lt_of_disintegration_outputs
lem:helpful-distinct	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	nat_eq_of_edist_lt_one;exists_unique_value_of_mem_indexSet;index_injOn;ncard_indexSet_eq;exists_same_index_near_of_edist_lt;exists_same_index_near_of_edist_lt_one;indexSet_eq_of_edist_lt_one;ncard_eq_of_edist_lt_one;cauchySeq_tendsto_of_complete
lem:helpful-point-process	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PointProcesses	module-comment;nat_le_of_ennreal_nat_le_add_lt_one
lem:increasing-decreasing-measurable	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	module-comment;increasingRealFixedSet;decreasingRealFixedSet;measurableSet_increasingRealFixedSet;measurableSet_decreasingRealFixedSet
lem:measurable-enumeration	external	#8250df	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	module-comment;module-comment;daleyVereJones_measurableEnumeration;exists_measurableEnumeration;measurableEnumeration;measurable_measurableEnumeration;tupleInducedIntegerMeasure_measurableEnumeration;permutedTupleInducedIntegerMeasure_measurableEnumeration
lem:permutations-inherit-order	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	permutationInheritedLE;permutationInheritedLE_total_order;rankedPermutation;sortingCell_cover_of_sortingRule;sortingCell_cover
lem:tuple-space-measurable-2	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Sorting	module-comment;measurableSet_realTupleHausdorff_iff_fixedLength
prin:agent-actions	commentary	#6e7781	foundations	#0969da	lean-foundations.yml	Foundations.Economics	module-comment
prin:clearing	commentary	#6e7781	foundations	#0969da	lean-foundations.yml	Foundations.Economics	module-comment
prin:finitism	commentary	#6e7781	foundations	#0969da	lean-foundations.yml	Foundations.Economics	module-comment
prop:application-continuous	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	module-comment;exists_add_payload_of_edist_lt;exists_cancel_payload_of_edist_lt;exists_modify_payload_of_edist_lt;continuousAt_applyAction_emetricTopology;continuous_applyAction_emetricTopology
prop:characteristic-functions-tuple	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	module-comment;characteristicIndexSet;characteristicIndexSet_subset_domain;measurableSet_fixedLength_characteristicIndexSet_fiber;measurable_fixedLength_characteristicIndexSet;measurable_characteristicIndexSet_emetricBorel
prop:choosing-a-permutation	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	module-comment;chooseRepresentative;mk_chooseRepresentative
prop:composition-continuous	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection	module-comment;continuousAt_reindex_emetricTopology;continuous_reindex_emetricTopology;measurable_reindex_emetricBorel
prop:countable-finite-sets	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	toFinset_injective;countable
prop:disjoint-isomorphism	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;PairwiseDisjoint;disjointUnion_equiv_union_of_pairwiseDisjoint
prop:disjoint-partial-order	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;instLE;instPartialOrder
prop:disjoint-product	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;toUnionProduct;taggedUnionSet;unionProductSet;taggedUnionSet_subset_unionProductSet;taggedUnionSet_eq_unionProductSet_iff_all_components_equal;toUnionProduct_embedding_injective
prop:disjoint-total-order	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnion	module-comment;LexLE;lexLE_isPartialOrder;lexLE_isTotal
prop:disjoint-union-metric-properties	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnionTopology	module-comment;completeSpace;separableSpace_sigma_of_countable;separableSpace_metricTopology_of_countable
prop:disjoint-union-metrization	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.DisjointUnionTopology	module-comment;disjointUnionEMetricSpace
prop:finite-equivalence-classes	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	permutativeClass_eq_of_related;finite_permutativeClass;ncard_permutativeClass_le_factorial
prop:finite-hausdorff-isolative	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	hausdorffEDistance_lower_bound_of_mem_notMem;finiteSubsets_isolative;finiteSubsets_completeSpace_of_isolative
prop:finite-hausdorff-isolative-iff-isolative	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	singleton_edist;isolative_of_finiteSubsets_isolative;finiteSubsets_isolative_iff_isolative
prop:finite-separable	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	exists_pos_lt_ennreal;finiteSubsetsOf;finiteSubsetsOf_countable;finiteSubsetsOf_dense;finiteSubsets_separableSpace
prop:finite-set-cauchy	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	exists_pos_lt_ennreal;finitePrefix;mem_finitePrefix;finitePrefix_mem_self;finitePrefix_mem_of_le;finitePrefix_cauchySeq
prop:finite-sets-over-finite-set	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	ofFiniteSetEmbedding;ofFiniteSetEmbedding_injective;ofFiniteSetEquivPowerset;finite_of_finite_set
prop:function-kernel-quotient-injective-extension	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	functionKernelExtension;functionKernelExtension_class;functionKernelExtension_injective;functionKernelEquivRange
prop:graph-injects	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesBasic	module-comment;graph;length_eq_of_initialSegment_eq;graph_injective
prop:hausdorff-distance	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	powersetHausdorffEDistance;powersetHausdorffEDistance_self;powersetHausdorffEDistance_comm;powersetHausdorffEDistance_triangle;powersetPseudoEMetricSpace
prop:index-augmented-hausdorff	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	IndexAugmented;edist_mk_mk;separableSpace;completeSpace;separableSpace;completeSpace;distinctProperties
prop:induced-sorting	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	leastValidRank;leastValidRank_spec;leastValidRank_min;leastValidRank_eq_of_mem_sortingCell;inducedSortingPermutation;inducedSortingRule;inducedSortingRule_sort_eq_of_mem_sortingCell
prop:injection-into-finite-sets	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	singleton_injective
prop:inverse-permuted-tuple-measure-continuous	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples;Foundations.Stochastic.TupleMeasures	permutedTupleHausdorffEDistance_mk_mk_le_coordinateEDistSup;permutedTupleHausdorffEDistance_mk_mk_lt_of_forall_edist_lt;Finset.sum_sum_mem_eq_sum_of_unique_cover;Finset.unique_cover_of_disjoint_of_sum_eq;sum_replicate_indicator_const;tupleOfListMap;tupleOfListMap_sum_indicator;disintegrationGroupedIndexList;mem_disintegrationGroupedIndexList_nearby;disintegrationReferenceTuple;disintegrationNearbyTuple;disintegrationNearbyTuple_coordinatewise_edist_lt;tupleInducedIntegerMeasure_disintegrationReferenceTuple;tupleInducedIntegerMeasure_disintegrationNearbyTuple_of_unique_cover;nearbyAtomIndices_unique_cover_of_disintegration;inversePermutedTupleMeasure;permutedTupleInducedIntegerMeasure_inversePermutedTupleMeasure;inversePermutedTupleMeasure_permutedTupleInducedIntegerMeasure;inversePermutedTupleMeasure_edist_lt_of_coordinatewise_representatives;inversePermutedTupleMeasure_edist_lt_of_disintegration_grouped;inversePermutedTupleMeasure_edist_lt_of_disintegration_outputs;inversePermutedTupleMeasure_edist_lt_of_lt_separationGamma;inversePermutedTupleMeasure_edist_lt_of_prokhorovEDistance_lt_min;inversePermutedTupleMeasure_epsilon_delta_at;inversePermutedTupleMeasure_epsilon_delta
prop:isolative-finite-sets-complete	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	eventually_constant_of_isolative;completeSpace_of_isolative
prop:kernel-space-hilbert-iff-image-closed	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	innerProductKernelLinearEquivRange;innerProductKernelLinearIsometryEquivRange;kernelSpace_hilbert_iff_image_closed
prop:kernel-space-separable	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	kernelSpace_separable
prop:measurable-partition-sorting	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	sortingCell_pairwiseDisjoint;measurableSet_tupleHausdorff_iff_fixedLength;measurableSet_fixed_sortingValid_of_strictOrder;measurableSet_sortingValidSet_of_strictOrder;measurableSet_sortingCell_of_measurable_sortingValidSet;sortingCell_measurablePartition_of_sortingRule;sortingCell_measurablePartition_of_strictOrder;sortingCell_measurablePartition_of_strictOrder_exists
prop:minimal-sorting-measurable	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Sorting	module-comment;measurable_minimumSort_real_LE;measurable_realMinimalPermutationLE;measurable_realMinimalPermutationGE;sortedBuyPriceTuple;sortedBuyQuantityTuple;sortedSellPriceTuple;sortedSellQuantityTuple
prop:perm-equal-equiv	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.PermutedTuples	module-comment;permutativeEquality_refl;permute_symm;permute_trans;permutativeEquality_symm;permutativeEquality_trans;permutativeSetoid
prop:permutations-countable	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment;finitePermutations_countable
prop:permuted-tuple-measure-map-bijective	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	tupleInducedIntegerMeasure_univ;sum_singleton_indicator_eq_filter_card;list_count_ofFn_eq_filter_card;length_eq_of_tupleInducedIntegerMeasure_eq;list_count_entries_eq_of_tupleInducedIntegerMeasure_eq;list_perm_entries_of_tupleInducedIntegerMeasure_eq;tupleInducedIntegerMeasure_eq_of_list_perm_entries;tupleInducedIntegerMeasure_eq_iff_list_perm_entries;permutativeEquality_of_list_perm_entries;tupleInducedIntegerMeasure_eq_iff_permutativeEquality;permutedTupleInducedIntegerMeasure;permutedTupleInducedIntegerMeasure_mk;permutedTupleInducedIntegerMeasure_injective;permutedTupleInducedIntegerMeasure_surjective_of_forall_atomicDecomposition;permutedTupleInducedIntegerMeasure_surjective_standardBorel;permutedTupleInducedIntegerMeasure_bijective_of_forall_atomicDecomposition;permutedTupleInducedIntegerMeasure_bijective_standardBorel
prop:permuting-continuous	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment;continuous_sigmaMk_tupleHausdorff;continuous_fixedLength_permute;continuous_fixedPermutationMap;finitePermutationTuple;finitePermutationEDistance;finitePermutation_eq_of_edist_lt_one;isOpen_singleton_finitePermutation;permutationProductTopology;continuous_permutationMap;measurable_permutationMap_comp;continuous_fixedIndexListMap
prop:phi-extends	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	functionKernelSetoid;functionKernel_equivalence
prop:phi-subspace	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	module-comment;IsLinearSubspace;weaklyLinearRangeSubmodule_carrier;weaklyLinearOperator_iff_range_isSubspace;weaklyConvexOperator_iff_range_convexCone;weaklyConvexOperator_iff_range_convexCone_realVectorSpace
prop:segments-partition-incomp	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	indexConnected_of_mem_segmentDistinctFiniteSet;not_comparable_of_mem_distinct_segmentDistinctFiniteSet;tupleGraph_subset_segmentUnion;segmentUnion_eq_tupleGraph;segmentIndices_disjoint_of_ne;segmentGraph_disjoint_of_ne;not_indexComparable_of_distinct_segments;segmentGraph_incomparable_of_ne
prop:separation-continuous	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection;Foundations.MarketClearing.Sorting	module-comment;tag_eq_of_disjoint_edist_lt_one;valueAtTag_edist_eq;separationIndexSet_eq_of_fixed_edist_lt_one;componentFromIndices_edist_lt_of_fixed_near;continuousAt_separationComponent_disjointTopology;continuous_separationComponent_disjointTopology;continuous_separationOperator_disjointTopology;continuous_separationOperator_finitePiEMetric;continuous_buyOrders;continuous_sellOrders;continuous_separatedMarket;continuous_separatedMarket_finitePiEMetric
prop:sim-equivalence	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	indexConnected_refl;indexConnected_of_indexComparable;indexConnected_trans;indexConnected_symm;connectivitySetoid
prop:tau-injective	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesSorting	segmentArrivalIndex_injective;SegmentArrivalLE;segmentArrivalLE_total;segmentArrivalLE_antisymm;distinctFiniteSet_indexProjection_injOn
prop:transitive-closure-finite	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	indexComparableSimpleGraph;indexComparableSimpleGraph_reachable_iff_indexConnected;indexConnected_exists_bounded_fixedPathComparable
prop:tuple-induced-measure-continuous	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	tupleInducedIntegerMeasure_toMeasure_apply;tupleInducedIntegerMeasure_apply_le_thickening_of_forall_edist_lt;tupleInducedIntegerMeasure_prokhorovEDistance_le_of_fixedLength_edist_lt_one;tupleInducedIntegerMeasure_prokhorovEDistance_le_of_edist_lt_one;tupleInducedIntegerMeasure_prokhorovEDistance_lt_of_edist_lt_min;tupleInducedLevyProkhorovFiniteMeasure;tupleInducedLevyProkhorovFiniteMeasure_continuous
prop:tuple-measure-surjective	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	module-comment;list_sum_flatMap;atomicExpansionList;sum_replicate_indicator;atomicExpansionList_sum_indicator;tupleOfList_sum_indicator;tupleInducedIntegerMeasure_atomicExpansion;tupleOfAtomicDecomposition;tupleInducedIntegerMeasure_tupleOfAtomicDecomposition;tupleInducedIntegerMeasure_surjective_of_atomicDecomposition;tupleInducedIntegerMeasure_surjective_of_forall_atomicDecomposition;tupleInducedIntegerMeasure_surjective_standardBorel
prop:tuple-monoid	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Primitive	module-comment;tupleList;tupleMultiset;tupleList_length;tupleList_empty;tupleMultiset_empty;tuple_eq_of_tupleList_eq;tupleList_sortedLE;sortedTuple_eq_of_tupleMultiset_eq;tupleList_concat;tupleMultiset_concat;tupleMultiset_permute;tupleMultiset_sort;tupleMultiset_sortedAdd;sortedEmpty;module-comment;tupleMultiset_sortedAddOn;sortedAddOn_assoc;sortedAddOn_empty_right;sortedAddOn_empty_left;sortedAddOn_comm;sortedAddOn_right_cancel;sortedAddOn_left_cancel
prop:tuple-projection-continuous	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Selection;Foundations.MarketClearing.Sorting	module-comment;continuous_fixedLength_tupleProjection;continuous_tupleProjection_tupleHausdorff;continuous_tupleDecomposition_tupleHausdorff;tupleDecomposition_injective;continuous_priceTuple;continuous_quantityTuple;continuous_orderCoordinateTuples;orderCoordinateTuples_injective
prop:weak-linear-kernel-inner-product-space	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	weakLinear_kernel_innerProduct_wellDefined;innerProductKernelCore;innerProductKernelSpace_normedAddCommGroup;innerProductKernelSpace_innerProductSpace;weakLinear_kernel_innerProductSpace
rem:hausdorff-convention	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	hausdorffDistance_empty_right;hausdorffDistance_empty_left;hausdorffEDistance_empty_right;hausdorffEDistance_empty_left
thm:Hausdorff-finite-sets	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	instEDist;instPseudoEMetricSpace;isClosed_coe;hausdorffEDistance_eq_zero;instEMetricSpace
thm:analytic-properties-actions	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Analytic	module-comment;nat_isolative_bound_one;finiteSubsets_nat_eq_of_edist_lt_one;tupleDomain_eq_of_length_eq;cancel_survivorSet_eq_of_near;coordinateEDistSup_append_le_max;concat_edist_le_max_coordinate;concat_edist_le_max_of_fixed_lt_one;concat_edist_lt_of_fixed_lt;continuousAt_concat_emetricTopology;continuous_concat_emetricTopology;reindex_edist_le_coordinate;reindex_edist_le_of_fixed_lt_one;cancel_edist_le_of_fixed_same_removed_lt_one;cancel_edist_lt_of_fixed_same_removed;continuousAt_cancel_emetricTopology;continuous_cancel_emetricTopology;modification_indexSet_eq_of_near;modification_no_value_of_indexSet_eq;modification_no_value_of_near;modificationValue_edist_lt_of_mem;modify_entry_edist_lt_of_fixed_near;modify_edist_lt_of_fixed_near;continuousAt_modify_emetricTopology;continuous_modify_emetricTopology
thm:closed-convex-cone-closure-projection	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	convexCone_zero_mem_of_nonempty;convex_of_convexCone;convexCone_smul_mem_closure;convexCone_closure;convexCone_closure_isComplete;closedConvexCone_closure_convexCone_and_complete;closedConvexCone_metricProjection_exists;convexSet_metricProjection_minimizer_unique;closedConvexConeMetricProjection;closedConvexConeMetricProjection_spec;closedConvexCone_metricProjection_existsUnique;closedConvexConeMetricProjection_eq_of_inner_nonpos;closedConvexConeMetricProjection_idempotent;closedConvexConeMetricProjection_positiveHomogeneous
thm:composite-action-metric	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	module-comment;compositeActionEMetricSpace;compositeAction_edist_eq_tupleHausdorffEDistance;compositeAction_completeSpace;compositeAction_separableSpace
thm:composite-application-continuous	verified	#2da44e	market-actions	#bf8700	lean-market-actions.yml	Foundations.MarketActions.Composite	module-comment;continuous_fixedCompositeApply_emetricTopology;continuous_applyCompositeAction_emetricTopology
thm:distinct-properties	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.FiniteSets	IndexAugmented;edist_mk_mk;separableSpace;completeSpace;indexSet;mem_indexSet;separableSpace;completeSpace;distinctProperties
thm:equilibrium-quantity-measurable	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	tupleQuantityEval;continuous_tupleQuantityEval;measurable_tupleQuantityEval;clearedQuantityAt;maxClearedQuantityForIndexSet;measurable_maxClearedQuantityForIndexSet;measurable_equilibriumQuantity;measurable_equilibriumQuantity_restricted;marketEquilibriumQuantity;measurable_marketEquilibriumQuantity
thm:grothendieck-vector-space-from-convex-cone	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	weakConvexKernelImage;GrothendieckPair;grothendieckRel;grothendieckRel_equivalence;grothendieckSetoid;GrothendieckVectorization;grothendieckVectorization_addCommGroup;grothendieckVectorization_module;grothendieck_vectorSpace_from_convexCone;grothendieckVectorization_additionOfPairRepresentatives;grothendieckVectorization_scalarMultiplicationOfPairRepresentative_nonnegative;grothendieckVectorization_scalarMultiplicationOfPairRepresentative_negative
thm:grothendieck-vectorization-is-span	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.KernelHilbert	weakConvex_range_zero_mem;weakConvex_range_add_mem;weakConvex_range_smul_mem;grothendieckDifferenceSubmodule;grothendieckDifferenceSubmodule_eq_span;grothendieckToSpan;grothendieckToSpan_pairRepresentative_formula;grothendieckToSpan_injective;grothendieckToSpan_surjective;grothendieckVectorizationEquivSpan;grothendieckVectorizationEquivSpan_pairRepresentative_formula;grothendieckVectorizationLinearEquivSpan;grothendieck_vectorization_is_span
thm:index-measurable	verified	#2da44e	market-clearing	#cf222e	lean-market-clearing.yml	Foundations.MarketClearing.Equilibrium	module-comment;tupleFixedRealCoordinates;sigmaMk_tupleFixedRealCoordinates_eq_of_length;measurable_tupleFixedRealCoordinates;measurableSet_tupleReal_length_eq;measurableSet_fixedLength_feasibleEquilibriumIndexSet_fiber;measurable_fixedLength_feasibleEquilibriumIndexSet;measurable_feasibleEquilibriumIndexSet;measurable_feasibleEquilibriumIndexSet_restricted
thm:integer-measures-tuples-homeomorphic	verified	#2da44e	stochastic	#8250df	lean-stochastic.yml	Foundations.Stochastic.TupleMeasures	module-comment;permutedTupleInducedIntegerMeasure_prokhorovEDistance_lt_of_edist_lt_min;IntegerMeasuresPermutedTuplesHomeomorphismData;integerMeasuresPermutedTuples_homeomorphismData;integerMeasuresPermutedTuples_homeomorphic
thm:measurable-partition	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment;measurable_iff_measurable_restrict_partition
thm:measurable-sorting-exists	verified	#2da44e	market-representation	#1a7f37	lean-market-representation.yml	Foundations.MarketRepresentation.TuplesMeasurableSorting	module-comment;measurable_inducedSortingRule_restrict_sortingCell;measurable_inducedSortingRule_of_strictOrder;exists_measurableSortingRule_of_sortingRule_strictOrder;exists_measurableSortingRule_of_strictOrder;exists_measurableSortingRule_of_borelOrder
